,School,Date,Item,Remarks,
,Captains Flat,1886-1910,[5/15292.2],Administrative file,
,Captains Flat,1910-1939,[5/15293.1],Administrative file,
,Captains Point,Pre 1939,[5/15293.2],Administrative file,
,Carabost,Post 1939,[14/7376],Administrative file,
,Carabost,1944-1961,[31/458],Observation book (record held at Charles Sturt Regional Archives),
,Carabost,1965-1971,[31/459],Observation book (record held at Charles Sturt Regional Archives),
,Carabost,1943-1966,[31/460],Visitors' book (record held at Charles Sturt Regional Archives),
,Carabost,1943-1961,[31/461],Stock book (record held at Charles Sturt Regional Archives),
,Carabost,Pre 1939,[5/15294.1],Administrative file,
,Carabost West,Pre 1939,[5/15294.2],Administrative file,
,Caragabal,1907-1921,[5/18302.2],Administrative file,
,Caragabal (1) - (2),Pre 1939,[5/15294.3],Administrative file,
,Caragabal (2),Post 1939,[14/7377],Administrative file,
,Carangara,Pre 1939,[5/15295.1],Administrative file,
,Carangula,Pre 1939,[5/15295.2],Administrative file,
,Carara,Pre 1939,[5/15295.3],Administrative file,
,Carathool,Post 1939,[14/7382],Administrative file,
,Carbean,-,[5/18289],Proposed school,
,Carbeens,-,[5/18289],Proposed school,
,Carcoar,Post 1939,[14/7377],Administrative file,
,Carcoar,1876-1912,[5/15295.4],Administrative file,
,Carcoar,1912-1939,[5/15296.1],Administrative file,
,Carcolla,Post 1939,[14/7377],Administrative file,
,Cardiff,Post 1939,[14/7377],Administrative file,
,Cardiff,1889-1905,[5/15296.2],Administrative file,
,Cardiff,1906-1929,[5/15297],Administrative file,
,Cardiff,1930-1938,[5/15298],Administrative file,
,Cardiff,1939,[5/15299.1],Administrative file,
,Cardiff Heights,-,[5/18289],Proposed school,
,Cardiff High,Post 1939,[14/7377],Administrative file,
,Cardiff North,Post 1939,[14/7377],Administrative file,
,Cardiff South,Post 1939,[14/7377],Administrative file,
,Cardiff South,Pre 1939,[5/15299.2],Administrative file,
,Cardiff West,Post 1939,[14/7377],Administrative file,
,Cardington,Pre 1939,[5/15299.3],Administrative file,
,Cardungle,Pre 1939,[5/15299.4],Administrative file,
,Carellan,-,[5/18289],Proposed school,
,Carenne,Post 1939,[14/7378],Administrative file,
,Carenne School for Specific Purposes,1957-1975,[NRS 19688],Register of Admission,
,Careunga,17.10.1966-08.07.1969,[1/3897],Punishment Book,
,Careunga,27.10.1959-08.07.1969,[1/3898],Observation Book,
,Careunga,01.04.1959-06.08.1969,[1/3899],Admission register,
,Cargellico,Pre 1939,[5/15299.5],Administrative file,
,Cargo,Post 1939,[14/7378],Administrative file,
,Cargo,1876-1905,[5/15299.6],Administrative file,
,Cargo,-,[5/15300.1],Administrative file,
,Carilla,Pre 1939,[5/15300.2],Administrative file,
,Carina,Pre 1939,[5/15300.3],Administrative file,
,Carinda,Post 1939,[14/7378],Administrative file,
,Carinda,1894-1926,[5/15300.4],Administrative file,
,Carinda,1926-1939,[5/15301.1],Administrative file,
,Caringa SSP,Post 1939,[14/7378],Administrative file,
,Caringbah,Post 1939,[14/7378],Administrative file,
,Caringbah,Post 1939,[14/7379],Administrative file,
,Caringbah,Pre 1939,[5/15301.2],Administrative file,
,Caringbah High,1958,[14/7378],Administrative file,
,Caringbah North,Post 1939,[14/7380],Administrative file,
,Carinya,-,[5/18289],Proposed school,
,Carlachy Tank,Pre 1939,[5/15302.1],Administrative file,
,Carlingford,1934-1939,[5/15305],Administrative file (2 bundles A&B),
,Carlingford,Post 1939,[14/7380],Administrative file,
,Carlingford,1886-1911,[5/15302.2],Administrative file (2 bundles A&B),
,Carlingford,1911-1929,[5/15303],Administrative file (2 bundles A&B),
,Carlingford,1930-1933,[5/15304],Administrative file (2 bundles A&B),
,Carlingford High,Post 1939,[14/7380],Administrative file,
,Carlingford West,Post 1939,[14/7380],Administrative file,
,Carlisle Park,Post 1939,[14/7381],Administrative file,
,Carlisle Park,Pre 1939,[5/15306.2],Administrative file,
,Carlisles Gully,Post 1939,[14/7381],Administrative file,
,Carlisles Gully,Pre 1939,[5/15306.1],Administrative file,
,Carlos Gap,-,[5/18289],Proposed school,
,Carlton,07.02.1939-09.04.1970,[1/4814],Punishment Book,
,Carlton,30.01.1957-31.07.1963,[1/4815],Visitors' book (Clergy),
,Carlton,1965,[1/4816],Programme and lesson register,
,Carlton,1965,[1/4817],Programme and lesson register,
,Carlton,1965,[1/4818],Programme and lesson register,
,Carlton,1965,[1/4819],Programme and lesson register,
,Carlton,1965,[1/4820],Programme and lesson register,
,Carlton,1966,[1/4821],Programme and lesson register,
,Carlton,1967,[1/4822],Programme and lesson register,
,Carlton,1967,[1/4823],Programme and lesson register,
,Carlton,1968,[1/4824],Programme and lesson register,
,Carlton,1967,[1/4825],Programme and lesson register,
,Carlton,30.01.1940-26.11.1951,[1/4826],Admission register,
,Carlton,31.01.1939-15.10.1957,[1/4827],Admission register,
,Carlton,01.02.1938-02.02.1967,[1/4828],Admission register,
,Carlton,29.01.1952-30.10.1956,[1/4829],Admission register,
,Carlton,Post 1939,[14/7381],Administrative file,
,Carlton,1891-1918,[5/15306.3],Administrative file,
,Carlton,1919-1928,[5/15307],Administrative file (2 bundles A&B),
,Carlton,1928-1933,[5/15308],Administrative file (2 bundles A&B),
,Carlton,1934-1939,[5/15309],Administrative file (2 bundles A&B),
,Carlton South,Post 1939,[14/7381],Administrative file,
,Carlton South,1918-1930,[5/15310],Administrative file (2 bundles A&B),
,Carlton South,1930-1939,[5/15311],Administrative file (2 bundles A&B),
,Carlyle,Pre 1939,[5/15312.1],Administrative file,
,Carmena,Pre 1939,[5/15312.2],Administrative file,
,Carndhu,Pre 1939,[5/15312.3],Administrative file,
,Carnsdale,-,[5/18289],Proposed school,
,Caroda,-,[5/18289],Proposed school,
,Caroline Chisholm,Post 1939,[14/7381],Administrative file,
,Carool,Pre 1939,[5/15312.4],Administrative file,
,Caroon,Pre 1939,[5/15312.5],Administrative file,
,Caroona,Post 1939,[14/7381],Administrative file,
,Caroona,Pre 1939,[5/15312.6],Administrative file,
,Caroona Abor,Post 1939,[14/7382],Administrative file,
,"Carowra Tank, Aboriginal",Pre 1939,[5/15313.1],Administrative file,
,Carraboblin,Pre 1939,[5/15313.2],Administrative file,
,Carrabolla,Pre 1939,[5/15313.3],Administrative file,
,Carranya,Pre 1939,[5/15313.4],Administrative file,
,Carrathool,1916-1939,[5/15315.1],Administrative file (2 bundles A&B),
,Carrathool,21.10.1927-23.07.1964,[1/5062],Visitors' book,
,Carrathool,16.04.1925-07.08.1969,[1/5063],Punishment Book,
,Carrathool,1962,[1/5083],Observation Book,
,Carrathool,1883-1916,[5/15314],Administrative file (2 bundles A&B),
,Carrawa,Pre 1939,[5/15315.2],Administrative file,
,Carrawabity,Pre 1939,[5/15315.3],Administrative file,
,Carrick,Pre 1939,[5/16316.1],Administrative file,
,Carrinaton,Post 1939,[14/7382],Administrative file,
,Carrington,1880-1881,[1/8529],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1891,[1/8530],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1895-1914,[5/15317],Administrative file (2 bundles A&B),
,Carrington,1914-1936,[5/15318],Administrative file (2 bundles A&B),
,Carrington,Pre 1939,[5/15319.1],Administrative file,
,Carrington,1889-1895,[5/16316.2],Administrative file,
,Carrington,1946-1952,[1/6680],Comments and Suggestions book. Record at University of Newcastle,
,Carrington,1885-1894,[A3777],Observation Book,
,Carrington,n.d,[1/6681],Photographs. Record at University of Newcastle,
,Carrington,04.03.1893-31.07.1896,[1/6682],Visitors' book. Record at University of Newcastle,
,Carrington,24.09.1941-11.06.1952,[1/6683],Visitors' book. Record at University of Newcastle,
,Carrington,18.06.1952-28.04.1960,[1/6684],Visitors' book. Record at University of Newcastle,
,Carrington,1965-1965,[1/6685],Examination book. Record at University of Newcastle,
,Carrington,1960-1965,[1/6686],Examination book. Record at University of Newcastle,
,Carrington,1963-1968,[1/6687],Examination book. Record at University of Newcastle,
,Carrington,1963-1965,[1/6688],Examination book. Record at University of Newcastle,
,Carrington,1962-1966,[1/6689],Examination book. Record at University of Newcastle,
,Carrington,1964,[1/6690],Examination book. Record at University of Newcastle,
,Carrington,1961-1963,[1/6691],Examination book. Record at University of Newcastle,
,Carrington,1961-1962,[1/6692],Examination book. Record at University of Newcastle,
,Carrington,1959-1963,[1/6693],Examination book. Record at University of Newcastle,
,Carrington,16.09.1895,[1/6694],Observation book. Record at University of Newcastle,
,Carrington,10.06.1874-21.02.1881,[1/6695],Observation book. Record at University of Newcastle,
,Carrington,23.11.1885-03.06.1895,[1/6696],Admission register. Record at University of Newcastle,
,Carrington,19.09.1892-22.06.1903,[1/6697],Admission register. Record at University of Newcastle,
,Carrington,29.01.1946-28.01.1958,[1/6698],Admission register. Record at University of Newcastle,
,Carrington,23.01.1922-27.11.1945,[1/6699],Admission register. Record at University of Newcastle,
,Carrington,02.02.1960-04.11.1965,[1/6700],Admission register. Record at University of Newcastle,
,Carrington,1888-1889,[1/6701],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1890-1892,[1/6702],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1890-1891,[1/6703],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1906-1907,[1/6704],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1907-1908,[1/6705],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1907-1908,[1/6706],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1903,[1/6707],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1903,[1/6708],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1904-1906,[1/6709],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1905-1906,[1/6710],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1963,[1/6711],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1963,[1/6712],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1964,[1/6713],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1965,[1/6714],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1965,[1/6715],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1965,[1/6716],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1965,[1/6717],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1966,[1/6718],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1966,[1/6719],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1967,[1/6720],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1967,[1/6721],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1967,[1/6722],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1967,[1/6723],Programme and lesson register. Record at University of Newcastle.,
,Carrington,1963,[1/6724],Observation book. Record at University of Newcastle.,
,Carrington,09.02.1939-25.06.1970,[1/6725],Punishment Book Record at University of Newcastle.,
,Carrington Public School,1903-1905,[NRS 16703],Register of admission-Class roll,
,Carrington Public School,1885-1906,[NRS 16659],Programme and lesson registers,
,Carrington Public School,1895-1896,[NRS 16663],Punishment book,
,Carroboblin,Post 1939,[14/7382],Administrative file,
,Carroll,1879-1902,[5/15319.3],Administrative file,
,Carroll,1902-1939,[5/15320],Administrative file (2 bundles A&B),
,Carroll Gap,Pre 1939,[5/15321.1],Administrative file,
,Carrolls Creek,Pre 1939,[5/15321.2],Administrative file,
,Carrow Brook,Post 1939,[14/7382],Administrative file,
,Carrow Brook,1876-1920,[5/15321.3],Administrative file,
,Carrow Brook,1920-1939,[5/15322.1],Administrative file,
,Carrs Creek,Pre 1939,[5/15322.2],Administrative file,
,Carsonville,Pre 1939,[5/15323.1],Administrative file,
,Cartwright,Post 1939,[5/15323.1],Administrative file,
,Carungarung,Pre 1939,[5/15323.2],Administrative file,
,Carwell,Post 1939,[14/7382],Administrative file,
,Carwell,Pre 1939,[5/15323.3],Administrative file,
,Carwoola,Pre 1939,[5/15324.1],Administrative file,
,Cascade,1956,[1/6494],Programme and Lesson register,
,Cascade,1957,[1/6495],Programme and Lesson register,
,Cascade,1959,[1/6496],Programme and Lesson register,
,Cascade,1960,[1/6497],Programme and Lesson register,
,Cascade,1927-1970,[1/6498],Visitors' book,
,Cascade,1927-1942,[1/6499],Observation Book,
,Cascade,1944-1958,[1/6500],Observation Book,
,Cascade,1929-1970,[1/6502],Punishment Book,
,Cascade,1972-1975,[1/9020],Admission register,
,Cascade,11.08.1970-21.10.1975,[1/9021],Visitors' book,
,Cascade,16.12.1970-21.10.1975,[1/9022],Punishment Book,
,Cascade,1954-1975,[1/9023],Equipment register,
,Cascade,25.10.1960-29.02.1968,[1/9024],Observation Book,
,Cascade,Post 1939,[14/7383],Administrative file,
,Cascade,Pre 1939,[5/15324.2],Administrative file,
,Cashel,Pre 1939,[5/15325.1],Administrative file,
,Casino,Post 1939,[14/7383],Administrative file,
,Casino,1876-1904,[5/15325.2],Administrative file (2 bundles A&B),
,Casino,1904-1920,[5/15326],Administrative file (2 bundles A&B),
,Casino,1920-1928,[5/15327],Administrative file (2 bundles A&B),
,Casino,1928-1930,[5/15328],Administrative file (2 bundles A&B),
,Casino,1930-1936,[5/15329],Administrative file (2 bundles A&B),
,Casino,1936-1939,[5/15330.1],Administrative file (2 bundles A&B),
,Casino East,-,[5/18289],Proposed school,
,Casino High,Post 1939,[14/7384],Administrative file,
,Casino High School,1945-2001,[NRS 20134],Register of Admissions,
,Casino High School,1945-1950,[NRS 20746],Examination Results Sheets,
,Casino Intermediate High School,1929-1944,[NRS 20143],Examination Results Sheets,
,Casino North,Pre 1939,[5/15330.2],Administrative file,
,Casino North,04.12.1951-14.12.1965,[1/8788],Visitors' book,
,Casino North,08.07.1952-05.08.1965,[1/8789],Punishment Book,
,Casino North,22.05.1951-19.05.1964,[1/8790],Admission register,
,Casino North,Post 1939,[14/7385],Administrative file,
,Casino Public School,1910-1956,[NRS 20145],Punishment Book,
,Casino Public School,1919-1944,[NRS 20133],Register of Admissions,
,Casino South,Pre 1939,[5/15331.1],Administrative file,
,Casino West,Post 1939,[14/7385],Administrative file,
,Casino West,Pre 1939,[5/15331.2],Administrative file,
,Cassilis,1875-1880,[1/5162],Copies of letters sent. Record at University of Newcastle.,
,Cassilis,28.01.1961-1953,[1/5163],Admission register. Record at University of Newcastle.,
,Cassilis,Post 1939,[14/7385],Administrative file,
,Cassilis,Pre 1939,[5/15331.3],Administrative file,
,Castile,Post 1939,[14/7385],Administrative file,
,Castille,Pre 1939,[5/15332.1],Administrative file,
,Castle Cove,Post 1939,[5/15332.1],Administrative file,
,Castle Doyle,Pre 1939,[5/15332.3],Administrative file,
,Castle Hill,1952-1960,[1/10616],Admission register,
,Castle Hill,1952-1965,[1/6517],Admission register,
,Castle Hill,1926-1951,[1/6518],Admission register,
,Castle Hill,Post 1939,[14/7386],Administrative file,
,Castle Hill,1876-1895,[5/15332.4],Administrative file,
,Castle Hill,1895-1933,[5/15333],Administrative file (2 bundles A&B),
,Castle Hill,1933-1939,[5/15334.1],Administrative file,
,Castle Hill C of E,Pre 1939,[5/15334.2],Administrative file,
,Castle Hill High,Post 1939,[14/7387],Administrative file,
,Castle Mountain,Post 1939,[14/7387],Administrative file,
,Castle Mountain,1880-1917,[5/15334.3],Administrative file,
,Castle Mountain,1917-1930,[5/15335.1],Administrative file,
,Castle Rag,Pre 1939,[5/15335.2],Administrative file,
,Castle Rock,Post 1939,[14/7387],Administrative file,
,Castle Rock,Pre 1939,[5/15337.2],Administrative file,
,Castlecrag,Pre 1939,[5/15332.2],Administrative file,
,Castlerag,Post 1939,[14/7387],Administrative file,
,Castlereagh,Post 1939,[14/7387],Administrative file,
,Castlereagh,Pre 1939,[5/15335.3],Administrative file,
,Castlereagh Lower,Post 1939,[14/7387],Administrative file,
,Castlereagh River,-,[5/18289],Proposed school,
,Castlereagh Street,Pre 1939,[5/15336.1],Administrative file,
,Castlereagh Upper,1878-1927,[5/15336.2],Administrative file,
,Castlereagh Upper,1927-1939,[5/15337.1],Administrative file,
,Castlereagh West,-,[5/18289],Proposed school,
,Casula,Post 1939,[14/7387],Administrative file,
,Casula High,Post 1939,[14/7387],Administrative file,
,Cataract Dam,Pre 1939,[5/15337.3],Administrative file,
,Cathcart,1956,[1/5806],Programme and lesson register,
,Cathcart,1925-1960,[1/5807],Visitors' book,
,Cathcart,1887-1925,[1/5808],Admission register,
,Cathcart,1926-1954,[1/5809],Admission register,
,Cathcart,c.1902-1956,[1/9089],Photographs (3),
,Cathcart,12.10.1948-18.06.1970,[1/9090],Observation Book,
,Cathcart,04.08.1972,[1/9091],Punishment Book,
,Cathcart,01.02.1955-19.05.1974,[1/9092],Admission register,
,Cathcart,-,[1/9093],Map of village of Cathcart and plan of school,
,Cathcart,1974,[1/9094],Correspondence,
,Cathcart,15.02.1961-03.08.1972,[1/9095],Visitors' book,
,Cathcart,07.08.1972-12.09.1974,[1/9096],Visitors' book,
,Cathcart,12.11.1975-26.11.1975,[1/9097],Visitors' book,
,Cathcart,1960-1975,[1/9098],Assessments,
,Cathcart,1876-1914,[5/15338],Administrative file (2 bundles A&B),
,Cathcart,1914-1939,[5/15339.1],Administrative file,
,Cathcart,1906-1970,[1/5795],Punishment Book,
,Cathcart,1926-1946,[1/5796],Observation Book,
,Cathcart,1946-1954,[1/5797],Examination book,
,Cathcart,1948-1954,[1/5798],Examination book,
,Cathcart,1951-1954,[1/5799],Examination book,
