,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,Dawes Point,Battery. Site plan of Government Buildings (Old Military Officers’ quarters),18 October 1917,-,-,4335 [Plan GA1401 1765],Colonial Architect Plan No. Misc.273/10. Signature of architect (Geo. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dawes Point,Battery. Signed “A.J. Purdue 21/1/26 for Government Architect”.,1897,-,-,4335 [Plan ***],Mitchell Library No. SVI DEF DEF DAW P 1,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Deniliquin,Court and Watch House,1862-63,-,-,4332 [2/586],-,"Appendix A: Correspondence, c.1837-96",
,Deniliquin,"Court, Police Office, Watch House",1853-66,-,-,4332 [2/590],-,"Appendix A: Correspondence, c.1837-96",
,Deniliquin,Gaol,1862-64,-,-,4332 [2/590],-,"Appendix A: Correspondence, c.1837-96",
,Deniliquin,Gaol,1864,-,-,4332 [2/649],(In general bundle),"Appendix A: Correspondence, c.1837-96",
,Deniliquin,Telegraph and Post Office,1863-65,-,-,4332 [2/590],-,"Appendix A: Correspondence, c.1837-96",
,Deniliquin,"Soldiers and Sailors Memorial, suggested alterations",1921,-,45,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Deniliquin,View of town,-,-,61,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Denison,Removal of police buildings to Seymour,1863-66,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Diamond Swamp,Police Station,1859-63,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Drayton,Court House,1851-53,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,Drayton,Police Office,1848-51,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,Dripstone,"Public School and Teacher’s Residence. Plans, elevations and sections",1881,-,-,4335 [Plan 1037],Colonial Architect Plan No. SB484/1,"Appendix B: Architectural Plans, 1848-1967",
,Drummoyne,"War Memorial, competitive designs",c.1922,-,79-80,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Dubbo,"Gaol. Proposed additions and alterations.  Plans, sections and elevations",1878,-,-,4335 [Plan 949],Colonial Architect Plan No. PC185/042,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Proposed additions and alterations.  Plans, elevations, sections",1878,-,-,4335 [Plan 950],Colonial Architect Plan No. PC185/043,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Gas plan,1891,-,-,4335 [Plan 951],Colonial Architect Plan No. PC185/044,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Alterations and additions.  Plans and elevation,1886,-,-,4335 [Plan 952],Colonial Architect Plan No. PC185/045,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Alterations and additions.  Plans, elevations and sections",1886,-,-,4335 [Plan 953],Colonial Architect Plan No. PC185/046,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Alterations and additions.  Plans and elevation,1886,-,-,4335 [Plan 954],Colonial Architect Plan No. PC185/047,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Alterations and additions.  Plans and elevation,1886,-,-,4335 [Plan 955],Colonial Architect Plan No. PC185/048,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Alterations and additions.  Plans and elevation,1886,-,-,4335 [Plan 956],Colonial Architect Plan No. PC185/049,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Alterations and additions.  Plans, elevations and sections, showing electrical system",1928,-,-,4335 [Plan 957],Colonial Architect Plan No. PC185/050,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Plan, sections and elevations showing alterations and additions (signed)",1928,-,-,4335 [Plan 758],Colonial Architect Plan No. PC185/051,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Alterations and additions.  Plans, elevations and sections",1928,-,-,4335 [Plan 958],Colonial Architect Plan No. PC185/052,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Proposed stable, battery room, fencing gates, roads etc. of Gaol and Post Office plans, elevations and sections",1889,-,-,4335 [Plan 959],Colonial Architect Plan No. PC185/053,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Plans, elevations and sections showing alterations and additions",-,-,-,4335 [Plan 759],Colonial Architect Plan No. PC185/055,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Enlarged plans and details of proposed further additions and alterations,1882,-,-,4335 [Plan 960],Colonial Architect Plan No. PC185/056. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Additions.  Detail of Dock,1891,-,-,4335 [Plan 961],Colonial Architect Plan No. PC185/057,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaoler’s and Warder’s Cottages. Sewerage and Stormwater Services,1929,-,-,4335 [Plan 926],Colonial Architect Plan No. PC185/018. Signature of architect (Benson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaoler’s and Warder’s Cottages. Sewerage and Stormwater Services,1929,-,-,4335 [Plan 927],Colonial Architect Plan No. PC185/019. Signature of architect (Benson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Talbragar Bridge,-,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Dubbo,Gaoler’s and Warder’s Cottages. Sewerage and Stormwater Services,1929,-,-,4335 [Plan 928],Colonial Architect Plan No. PC185/020. Signature of architect (Benson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Telegraph and Post Office,1866,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Dubbo,Gaoler’s and Warder’s Cottages. Plan of proposed gas fittings,1887,-,-,4335 [Plan 931],Colonial Architect Plan No. PC185/023. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Watch House, Court and Police Station",1850-65,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Dubbo,"Police Buildings. Plan, elevations and section",1885,-,-,4335 [Plan 921],Colonial Architect Plan No. PC185/013,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Police Buildings. Proposed Police Barracks.  Plans, elevations and sections",1883,-,-,4335 [Plan 922],Colonial Architect Plan No. PC185/014,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Court House. Proposed roof plan, site plan, elevations and sections. Marked No.11 office copy",1886,-,-,4335 [Plan 1767],Colonial Architect Plan No. 1185/86,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Police Buildings. Proposed Sub-Inspector’s Quarters.  Plans, elevations and sections",-,-,-,4335 [Plan 919],Colonial Architect Plan No. PC185/010,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House. Detail of portion of front showing granite columns,1886,-,-,4335 [Plan 912],Colonial Architect Plan No. PC185/03. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Public Buildings. Site plan of lock-up, Court House, stable, gaol, govt. savings bank and post office",1914,-,-,4335 [Plan 911],Colonial Architect Plan No. PC185/02. Signature of architect (H.G. Alexander) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Court House. Details of dais, canopy, clerks desk, witness box and sheriff’s box",1886,-,-,4335 [Plan 913],Colonial Architect Plan No. PC185/04. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Public Buildings. Site of Government Buildings.  Compiled from Plan 129/89,-,-,-,4335 [Plan 2170],Colonial Architect Plan No. PC185/011,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House. Full size detail of impost and cornice in corridors,1887,-,-,4335 [Plan 914],Colonial Architect Plan No. PC185/05. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Public Buildings. Drainage systems,1914,-,-,4335 [Plan 924],Colonial Architect Plan No. PC185/016. Signature of architect (H.G. Alexander) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House. Details of front cornice and pediment,1886,-,-,4335 [Plan 915],Colonial Architect Plan No. PC185/06. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Public Buildings. Site plan,-,-,-,4335 [Plan 932],Colonial Architect Plan No. PC185/024,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House. Detail of roof of main building,1886,-,-,4335 [Plan 916],Colonial Architect Plan No. PC185/07. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Public School. Additions and improvements.  Plan, elevations and section",1895,-,-,4335 [Plan 1033],Colonial Architect Plan No. SB491/28,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House. Detail of fixed sashes in courtroom and front door.  Elevations and sections,1886,-,-,4335 [Plan 917],Colonial Architect Plan No. PC185/08. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Public School. Additions and alterations.  Plans, elevations and sections",1904,-,-,4335 [Plan 1039],Colonial Architect Plan No. SB491/29,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House. Details of gallery front,1886?,-,-,4335 [Plan 918],Colonial Architect Plan No. PC185/09. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Court House. Proposed additions, plans, sections and elevations",1886,-,-,4335 [Plan 756],Colonial Architect Plan No. PC185/10,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Court House. Site plan, elevations of fencing, iron railings and steps",1889?,-,-,4335 [Plan 920],Colonial Architect Plan No. PC185/012,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House. Details of front,1886,-,-,4335 [Plan 923],Colonial Architect Plan No. PC185/015. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Block plan.  Connecting buildings to town sewer,1934,-,-,4335 [Plan 925],Colonial Architect Plan No. PC185/017. Signature of architect (Sinish?) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Exterior wooden doors at entrance.  Internal elevation and external elevation,1887,-,-,4335 [Plan 929],Colonial Architect Plan No. PC185/021,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Additions.  Plan, elevations and sections",1896,-,-,4335 [Plan 930],Colonial Architect Plan No. PC185/022. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Details of doors to corridor,1888,-,-,4335 [Plan 933],Colonial Architect Plan No. PC185/025. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Detail of inner entrance gates (steel),-,-,-,4335 [Plan 934],Colonial Architect Plan No. PC185/026,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Plan showing proposed extension of gas supply,1891,-,-,4335 [Plan 935],Colonial Architect Plan No. PC185/027. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Details of iron gate window gratings and fanlight for Kitchen,1887,-,-,4335 [Plan 936],Colonial Architect Plan No. PC185/028. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Additions.  Plans, elevations and sections",1896,-,-,4335 [Plan 937],Colonial Architect Plan No. PC185/029,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Plan of gaolers residence and prisoners kitchen,1887,-,-,4335 [Plan 938],Colonial Architect Plan No. PC185/030. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Plan of proposed further additions and alterations,-,-,-,4335 [Plan 939],Colonial Architect Plan No. PC185/030A,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Soldiers’ Memorial,1924,-,90,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Dubbo,"Gaol. Temporary gates and paling fence.  Plan, section and elevation",1928,-,-,4335 [Plan 940],Colonial Architect Plan No. PC185/032,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Alterations and additions.  Details of cast cement dressings to  doorways and parapets.  Pencil copy No.2,1929,-,-,4335 [Plan 941],Colonial Architect Plan No. PC185/033,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Removal and re-erection of part of Warder’s Platform including new roof etc.,1896,-,-,4335 [Plan 757],Colonial Architect Plan No. PC185/034. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Plan of proposed sanitary drainage,1892,-,-,4335 [Plan 942],Colonial Architect Plan No. PC185/035. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Proposed doors and roofing,-,-,-,4335 [Plan 943],Colonial Architect Plan No. PC185/036,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Plan of proposed sanitary drainage,1892,-,-,4335 [Plan 944],Colonial Architect Plan No. PC185/037. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Gaol. Ground plan of part of gaol showing proposed alterations,-,-,-,4335 [Plan 945],Colonial Architect Plan No. PC185/038,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Court House,-,-,"224, 232",4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Dubbo,"Gaol. New residence for Warder.  Plans, elevations and sections",1928,-,-,4335 [Plan 946],Colonial Architect Plan No. PC185/039. Signature of architect (R.M.S. Wells) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,Lands Office,-,-,232,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Dubbo,"Gaol. Temporary gates.  Plan, elevation, section",1928,-,-,4335 [Plan 947],Colonial Architect Plan No. PC185/040,"Appendix B: Architectural Plans, 1848-1967",
,Dubbo,"Gaol. Additions.  Plans showing present tower, platform to be removed and rebuilt, and extension of platform",1895,-,-,4335 [Plan 948],Colonial Architect Plan No. PC185/041. Signature of architect (Robertson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Dudley,War Memorial,-,-,14,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Dungog,Court House,"1848-49, 1858, 1861-65",-,-,4332 [2/8160],-,"Appendix A: Correspondence, c.1837-96",
,Dungog,Crown Lands Office,1858-59,-,-,4332 [2/8160],-,"Appendix A: Correspondence, c.1837-96",
,Dungog,Police Station,1866,-,-,4332 [2/8160],-,"Appendix A: Correspondence, c.1837-96",
,Dungog,Watch House,"1847-49, 1855, 1857-59",-,-,4332 [2/8160],-,"Appendix A: Correspondence, c.1837-96",
,Eastwood,Soldiers’ Memorial Gateway,1924,-,86,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Eastwood,“Denistone” Convalescent Hospital for men,-,-,124,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Eden,Court and Watch House,1848-57,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Eden,"Court House, Lock-up and Watch House",1857-66,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Eden,Custom House and lighthouse,1858-66,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Eden,Gaol and Lighthouse,1861-66,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Eighteen Mile Hollow,Police Station,1863-64,-,-,4332 [2/592],-,"Appendix A: Correspondence, c.1837-96",
,Eighteen Mile Hollow,Watch House,1853-56,-,-,4332 [2/592],-,"Appendix A: Correspondence, c.1837-96",
,Emmaville (Vegetable Creek),"Court House. Site Plan, stable plan and sections and elevations",-,-,-,4335 [Plan 761],Colonial Architect Plan No. PC194/6,"Appendix B: Architectural Plans, 1848-1967",
,Emmaville (Vegetable Creek),"Police Quarters. Plans, elevations and sections",1882,-,-,4335 [Plan 760],Colonial Architect Plan No. PC194/5,"Appendix B: Architectural Plans, 1848-1967",
,Emmaville (Vegetable Creek),"Police Quarters. Plans, elevations and sections",1882,-,-,4335 [Plan 762],Colonial Architect Plan No. PC194/7,"Appendix B: Architectural Plans, 1848-1967",
,Emu Plains,"Co-Education High School. Hydraulic services, soil and waste drainage",1962,-,-,4335 [Plan 2023],Colonial Architect Plan No. 132/2A. Signature of architect (R.A. Johnson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
